Tankmasse;Tage;Apo;Per;SMA;ECC;TotalMass;orbitheight;targetmass;
3.704.006.732;5.524.366.638;7.313.592.667;6.556.907.996;6.935.250.332;0.05455352258;2.727.040.067;1400;225;1
3.117.234.576;5.959.522.891;7.376.327.774;6.557.963.748;6.967.145.761;0.05873022138;2.971.172.346;1400;250;0
2.704.928.896;6.719.679.287;6.976.885.452;655.786.066;6.767.373.056;0.03095919117;3.217.049.289;1400;275;0
2.020.270.393;7.181.324.273;7.404.679.117;6.556.924.151;6.980.801.634;0.06072045956;3.460.202.704;1400;300;1
1.417.099.475;7.602.185.811;7.487.598.194;6.557.755.277;7.022.676.735;0.06620288478;3.704.170.995;1400;325;0
1.077.702.158;8.293.458.507;6.871.831.266;6.557.991.891;6.714.911.579;0.02336883894;3.950.777.022;1400;350;0
0.3398622725;8.763.367.749;7.255.694.578;6.556.838.522;690.626.655;0.0505957923;4.193.398.623;1400;375;1
-3,41E-04;8.971.887.489;7.589.121.434;6.592.231.858;7.090.676.646;0.07029580009;444;1400;400;0
0.0005640980188;8.966.922.197;7.724.982.861;6.649.918.926;7.187.450.893;0.07478756726;4.690.005.641;1400;425;0
0.000785990318;8.972.456.775;776.005.072;6.700.304.117;7.230.177.419;0.0732863484;494.000.786;1400;450;0
0.0002591496203;8.982.561.246;7.774.989.705;6.745.767.008;7.260.378.357;0.07087941199;5.190.002.591;1400;475;0
0.000321555013;8.994.711.739;7.783.885.951;6.787.492.653;7.285.689.302;0.06838016674;5.440.003.216;1400;500;0
0.0007071025476;9.011.633.589;7.789.704.535;6.825.770.329;7.307.737.432;0.06595298578;5.690.007.071;1400;525;0
0.0004310961758;9.027.805.508;7.794.469.081;6.861.026.245;7.327.747.663;0.06369234302;5.940.004.311;1400;550;0
