Tankmasse,Tage,Apo,Per,SMA,ECC,TotalMass,orbitheight,targetmass,,,,,,,,,,,,,,,,,,,,,,,,
7.850409734,206.6658263,6609.664981,6557.911219,6583.7881,0.003930394013,276.8504097,650,225,0,,,,,,,,,,,,,,,,,,,,,,,
7.683746285,224.8163113,6612.848119,6557.665781,6585.25695,0.004189839396,301.6837463,650,250,0,,,,,,,,,,,,,,,,,,,,,,,
7.64992765,244.0534664,6582.055249,6553.151082,6567.603166,0.002200511109,326.6499277,650,275,1,,,,,,,,,,,,,,,,,,,,,,,
7.580082897,271.1403202,6605.444082,6555.367876,6580.405979,0.003804948045,351.5800829,650,300,1,,,,,,,,,,,,,,,,,,,,,,,
7.276413649,301.0579947,6610.831288,6556.964388,6583.897838,0.004090806198,376.2764136,650,325,1,,,,,,,,,,,,,,,,,,,,,,,
6.908213852,327.4369972,6626.320229,6556.686343,6591.503286,0.005282094405,400.9082139,650,350,1,,,,,,,,,,,,,,,,,,,,,,,
6.594450028,350.6220125,6642.74965,6557.316509,6600.03308,0.00647217521,425.59445,650,375,0,,,,,,,,,,,,,,,,,,,,,,,
6.43493676,368.8347515,6640.072586,6556.180545,6598.126565,0.006357262198,450.4349368,650,400,1,,,,,,,,,,,,,,,,,,,,,,,
6.407921939,390.3732127,6591.413306,6556.719632,6574.066469,0.00263867684,475.4079219,650,425,1,,,,,,,,,,,,,,,,,,,,,,,
6.362741126,420.4644793,6591.728352,6556.994072,6574.361212,0.002641646759,500.3627411,650,450,1,,,,,,,,,,,,,,,,,,,,,,,
5.9603205,449.8609976,6614.575021,6557.378692,6585.976857,0.004342281393,524.9603205,650,475,0,,,,,,,,,,,,,,,,,,,,,,,
5.690491439,470.6138728,6638.034956,6556.81699,6597.425973,0.006155276769,549.6904914,650,500,1,,,,,,,,,,,,,,,,,,,,,,,
5.478950455,486.6639987,6661.763224,6556.718323,6609.240774,0.007946820577,574.4789505,650,525,1,,,,,,,,,,,,,,,,,,,,,,,
5.25159174,502.8075994,6666.023915,6556.97748,6611.500697,0.00824672344,599.2515917,650,550,1,,,,,,,,,,,,,,,,,,,,,,,
9.062581498,68.68128127,6620.328858,6551.196878,6585.762868,0.005248593109,103.0625815,700,50,1,,,,,,,,,,,,,,,,,,,,,,,
8.918735049,88.35603834,6589.73543,6554.650405,6572.192917,0.002669202256,127.918735,700,75,1,,,,,,,,,,,,,,,,,,,,,,,
8.890923508,123.1048966,6579.861871,6561.23598,6570.548926,0.001417377075,152.8909235,700,100,,,,,,,,,,,,,,,,,,,,,,,,
8.493004216,156.8413934,6644.34821,6557.58424,6600.966225,0.006572065928,177.4930042,700,125,0,,,,,,,,,,,,,,,,,,,,,,,
8.223395677,177.1442043,6650.517174,6557.633956,6604.075565,0.007032264939,202.2233957,700,150,0,,,,,,,,,,,,,,,,,,,,,,,
7.961779132,197.0341784,6648.004622,6556.197294,6602.100958,0.006952887333,226.9617791,700,175,1,,,,,,,,,,,,,,,,,,,,,,,
7.734957706,216.5056565,6628.607586,6557.443974,6593.02578,0.005396885665,251.7349577,700,200,0,,,,,,,,,,,,,,,,,,,,,,,
7.608465185,237.1259404,6597.656297,6554.473709,6576.065003,0.003283315191,276.6084652,700,225,1,,,,,,,,,,,,,,,,,,,,,,,
7.591038365,265.1811017,6603.534946,6554.683065,6579.109006,0.003712651736,301.5910384,700,250,1,,,,,,,,,,,,,,,,,,,,,,,
7.251001249,301.9395863,6616.908781,6556.581861,6586.745321,0.004579418002,326.2510012,700,275,1,,,,,,,,,,,,,,,,,,,,,,,
6.836134145,332.0201938,6644.19369,6556.852486,6600.523088,0.006616233496,350.8361341,700,300,1,,,,,,,,,,,,,,,,,,,,,,,
6.498641113,356.6491656,6666.868256,6557.663869,6612.266062,0.008257712728,375.4986411,700,325,0,,,,,,,,,,,,,,,,,,,,,,,
6.342761463,374.9335981,6663.912616,6556.531538,6610.222077,0.008122350279,400.3427615,700,350,1,,,,,,,,,,,,,,,,,,,,,,,
6.315040419,401.0327477,6596.980725,6557.04597,6577.013347,0.003035933864,425.3150404,700,375,0,,,,,,,,,,,,,,,,,,,,,,,
6.143010567,436.6663813,6618.69368,6556.602878,6587.648279,0.004712668259,450.1430106,700,400,1,,,,,,,,,,,,,,,,,,,,,,,
